country_name,country,pop,source,state_name
China,CHN,7024000,Hong Kong,NA
China,CHN,536969,Macau,NA
China,CHN,23187551,Taiwan,NA
United States of America,USA,4903185,AL,Alabama
United States of America,USA,731545,AK,Alaska
United States of America,USA,7278717,AZ,Arizona
United States of America,USA,3017804,AR,Arkansas
United States of America,USA,39512223,CA,California
United States of America,USA,5758736,CO,Colorado
United States of America,USA,3565287,CT,Connecticut
United States of America,USA,973764,DE,Delaware
United States of America,USA,705749,DC,District of Columbia
United States of America,USA,21477737,FL,Florida
United States of America,USA,10617423,GA,Georgia
United States of America,USA,1415872,HI,Hawaii
United States of America,USA,1787065,ID,Idaho
United States of America,USA,12671821,IL,Illinois
United States of America,USA,6732219,IN,Indiana
United States of America,USA,3155070,IA,Iowa
United States of America,USA,2913314,KS,Kansas
United States of America,USA,4467673,KY,Kentucky
United States of America,USA,4648794,LA,Louisiana
United States of America,USA,1344212,ME,Maine
United States of America,USA,6045680,MD,Maryland
United States of America,USA,6892503,MA,Massachusetts
United States of America,USA,9986857,MI,Michigan
United States of America,USA,5639632,MN,Minnesota
United States of America,USA,2976149,MS,Mississippi
United States of America,USA,6137428,MO,Missouri
United States of America,USA,1068778,MT,Montana
United States of America,USA,1934408,NE,Nebraska
United States of America,USA,3080156,NV,Nevada
United States of America,USA,1359711,NH,New Hampshire
United States of America,USA,8882190,NJ,New Jersey
United States of America,USA,2096829,NM,New Mexico
United States of America,USA,19453561,NY,New York
United States of America,USA,10488084,NC,North Carolina
United States of America,USA,762062,ND,North Dakota
United States of America,USA,11689100,OH,Ohio
United States of America,USA,3956971,OK,Oklahoma
United States of America,USA,4217737,OR,Oregon
United States of America,USA,12801989,PA,Pennsylvania
United States of America,USA,1059361,RI,Rhode Island
United States of America,USA,5148714,SC,South Carolina
United States of America,USA,884659,SD,South Dakota
United States of America,USA,6829174,TN,Tennessee
United States of America,USA,28995881,TX,Texas
United States of America,USA,3205958,UT,Utah
United States of America,USA,623989,VT,Vermont
United States of America,USA,8535519,VA,Virginia
United States of America,USA,7614893,WA,Washington
United States of America,USA,1792147,WV,West Virginia
United States of America,USA,5822434,WI,Wisconsin
United States of America,USA,578759,WY,Wyoming
United States of America,USA,3193694,PR,Puerto Rico
Saint Barthelemy,BLM,9793,BLM,NA
Channel Islands,Channel Islands,3703,Channel Islands,NA
Guernsey,GGY,63026,GGY,NA
Guadeloupe,GLP,395700,GLP,NA
French Guiana,GUF,290691,GUF,NA
Jersey,JEY,97857,JEY,NA
Martinique,MTQ,376480,MTQ,NA
Mayotte,MYT,279471,MYT,NA
Reunion,REU,859959,REU,NA
Taiwan,TWN,23780000,TWN,NA
Vatican City,VAT,1000,VAT,NA
